INFO 2020-07-19 16:30:48,660 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2020-07-19 16:30:48,660 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 200 10225
INFO 2020-07-19 16:30:48,660 basehttp 154 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
INFO 2020-07-19 16:30:48,661 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 200 32656
INFO 2020-07-19 16:30:48,665 basehttp 154 "GET /static/xadmin/js/xadmin.widget.datetime.js HTTP/1.1" 200 2979
INFO 2020-07-19 16:30:48,677 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_zh-hans.js HTTP/1.1" 200 694
INFO 2020-07-19 16:30:48,678 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
INFO 2020-07-19 16:30:48,679 basehttp 154 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2020-07-19 16:30:48,684 basehttp 154 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2020-07-19 16:30:48,685 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-19 16:30:50,271 basehttp 154 "GET /xadmin/auth/group/ HTTP/1.1" 200 19364
INFO 2020-07-19 16:30:50,298 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-19 16:30:51,505 basehttp 154 "GET /xadmin/reversion/revision/ HTTP/1.1" 200 24718
INFO 2020-07-19 16:30:51,533 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-19 16:30:56,093 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 10143
INFO 2020-07-19 16:30:56,121 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 17:05:47,926 autoreload 584 Watching for file changes with StatReloader
WARNING 2020-07-20 17:05:49,366 log 228 Not Found: /
WARNING 2020-07-20 17:05:49,367 basehttp 154 "GET / HTTP/1.1" 404 2153
WARNING 2020-07-20 17:05:49,434 log 228 Not Found: /favicon.ico
WARNING 2020-07-20 17:05:49,435 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2204
INFO 2020-07-20 17:06:01,955 basehttp 154 "GET /xadmin HTTP/1.1" 301 0
INFO 2020-07-20 17:06:02,205 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 11689
INFO 2020-07-20 17:06:02,257 basehttp 154 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2020-07-20 17:06:02,267 basehttp 154 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2020-07-20 17:06:02,268 basehttp 154 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
